tumor,gt_top,encoded_top,intersection
tgm001_preop,"['15140', '12592', '19285', '24648', '16619', '9478', '10662', '22078', '26304', '26267', '22123', '23837', '26291', '10216', '12619']","['19285', '9478', '15140', '12592', '24648', '26267', '10662', '16619', '23837', '8812', '22078', '12619', '19225', '26304', '14738']","['10662' '12592' '12619' '15140' '16619' '19285' '22078' '23837' '24648'
 '26267' '26304' '9478']"
tgm002_preop,"['8512', '16354', '24483', '26688', '15111', '8274', '17972', '14800', '17367', '11618', '14441', '24566', '18378', '21513', '12982']","['16102', '14721', '11618', '27047', '20237', '21928', '12243', '26090', '14774', '10251', '21888', '16127', '12993', '18180', '24774']",['11618']
tgm003_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['16102', '14721', '27047', '20237', '21928', '26090', '12243', '14774', '21888', '10251', '11618', '12993', '18180', '16127', '24774']",[]
tgm004_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['16102', '14721', '27047', '20237', '21928', '26090', '12243', '14774', '21888', '10251', '11618', '12993', '18180', '16127', '24774']",[]
tgm005_preop,"['16428', '22724', '14527', '19930', '8218', '22226', '21711', '14543', '21898', '21862', '23737', '9903', '13762', '10323', '16537']","['16428', '22724', '19930', '14527', '8218', '21898', '16537', '23737', '21862', '27460', '13730', '14543', '26245', '8160', '15183']","['14527' '14543' '16428' '16537' '19930' '21862' '21898' '22724' '23737'
 '8218']"
tgm006_preop,"['8531', '20941', '17098', '17022', '23778', '22357', '21918', '15993', '11124', '8969', '14107', '15932', '8291', '14510', '8822']","['17098', '20941', '8822', '18217', '8531', '16065', '18299', '17022', '8969', '14510', '22116', '22360', '16695', '23778', '22357']",['14510' '17022' '17098' '20941' '22357' '23778' '8531' '8822' '8969']
tgm008_preop,"['20932', '24992', '9273', '12606', '10889', '22314', '24725', '8694', '26384', '24040', '27523', '11256', '25174', '24959', '17096']","['11256', '27523', '20932', '24992', '9273', '24725', '26384', '12606', '10889', '11590', '9138', '14175', '23739', '8694', '17060']","['10889' '11256' '12606' '20932' '24725' '24992' '26384' '27523' '8694'
 '9273']"
tgm009_preop,"['17228', '9768', '20671', '10416', '26122', '27960', '25899', '20046', '15503', '27967', '27123', '23888', '18866', '22542', '11334']","['17228', '27967', '20046', '9768', '27123', '20671', '27960', '24599', '18866', '14464', '10416', '15503', '26122', '18125', '21959']","['10416' '15503' '17228' '18866' '20046' '20671' '26122' '27123' '27960'
 '27967' '9768']"
tgm010_preop,"['12948', '16028', '12426', '27066', '25769', '16840', '19359', '8140', '15673', '22952', '10179', '26482', '12102', '22709', '17711']","['12948', '16028', '25769', '19359', '21359', '27066', '26482', '22952', '16736', '22115', '15673', '12426', '8140', '19507', '10179']","['10179' '12426' '12948' '15673' '16028' '19359' '22952' '25769' '26482'
 '27066' '8140']"
tgm011_preop,"['27715', '19232', '17681', '19582', '10711', '8496', '9861', '11579', '16477', '13210', '18038', '14513', '17218', '23796', '24555']","['27715', '19232', '17681', '19582', '8496', '10711', '11579', '13320', '18038', '11576', '9861', '17218', '14513', '24515', '17286']","['10711' '11579' '14513' '17218' '17681' '18038' '19232' '19582' '27715'
 '8496' '9861']"
tgm013_preop,"['8881', '20968', '10106', '21593', '21302', '27172', '19127', '27391', '24134', '18607', '18815', '25525', '23878', '16161', '24633']","['12243', '11618', '16102', '27047', '20237', '14774', '21928', '14721', '10251', '26090', '21888', '24714', '24774', '12993', '18180']",[]
tgm014_preop,"['26797', '20461', '12366', '13894', '13842', '21994', '11718', '16280', '24244', '18263', '13460', '22265', '15639', '25946', '18465']","['26797', '20461', '12366', '13842', '16280', '22265', '13894', '25911', '12705', '18465', '11718', '23139', '12271', '25946', '13460']","['11718' '12366' '13460' '13842' '13894' '16280' '18465' '20461' '22265'
 '25946' '26797']"
tgm015_preop,"['9840', '8556', '25244', '12647', '13008', '20192', '25479', '19494', '12533', '15552', '9903', '11124', '13126', '15922', '11846']","['25244', '12647', '13008', '25479', '9840', '20192', '12533', '8556', '11846', '20432', '17022', '15922', '11124', '17492', '17349']","['11124' '11846' '12533' '12647' '13008' '15922' '20192' '25244' '25479'
 '8556' '9840']"
tgm016_preop,"['22183', '27126', '8144', '21817', '15944', '27366', '12856', '23429', '15341', '14310', '27562', '25182', '25445', '23055', '17942']","['27126', '8144', '22183', '21817', '23429', '27366', '15944', '12856', '25445', '14310', '15341', '17547', '13604', '23055', '17479']","['12856' '14310' '15341' '15944' '21817' '22183' '23055' '23429' '25445'
 '27126' '27366' '8144']"
tgm017_preop,"['20987', '17725', '16345', '13546', '24580', '24415', '15577', '16457', '22908', '14851', '22604', '19294', '21770', '17421', '25774']","['20987', '16345', '13546', '16457', '22710', '24580', '18696', '17725', '12529', '9412', '10876', '25534', '24415', '19898', '17198']",['13546' '16345' '16457' '17725' '20987' '24415' '24580']
tgm018_preop,"['13172', '26371', '12184', '19377', '20869', '10747', '12277', '25496', '20806', '27409', '10496', '10783', '23047', '23881', '22087']","['16284', '20816', '20299', '25563', '15787', '16354', '9875', '8512', '10747', '15688', '23852', '16965', '26371', '18370', '21365']",['10747' '26371']
tgm019_preop,"['11055', '21009', '15088', '23550', '26370', '11073', '9233', '11203', '16151', '26809', '27445', '22478', '27985', '11300', '24779']","['11055', '27985', '13604', '17479', '23550', '21009', '11073', '9233', '27445', '16995', '16151', '19338', '15088', '19440', '9591']",['11055' '11073' '15088' '16151' '21009' '23550' '27445' '27985' '9233']
tgm021_preop,"['21241', '21951', '18051', '16918', '15044', '22251', '11103', '22324', '12551', '16765', '10140', '18826', '21017', '20092', '18364']","['19311', '16918', '22324', '27167', '16765', '21951', '12459', '21241', '25742', '18740', '8374', '19573', '14813', '14909', '23351']",['16765' '16918' '21241' '21951' '22324']
tgm022_preop,"['11618', '26688', '12354', '14441', '24878', '25806', '13699', '11892', '14860', '17367', '26203', '20578', '25998', '20101', '25088']","['11618', '14441', '15498', '27002', '11892', '19522', '25558', '26688', '12243', '15111', '26457', '20370', '21278', '10617', '14860']",['11618' '11892' '14441' '14860' '26688']
tgm023_preop,"['22190', '11506', '24555', '26380', '15670', '18038', '9115', '24409', '22320', '23191', '16408', '12501', '10323', '16477', '9861']","['18038', '22190', '24555', '17864', '15670', '11506', '8218', '14422', '20165', '25641', '14721', '27047', '21888', '18285', '17681']",['11506' '15670' '18038' '22190' '24555']
tgm024_preop,"['26371', '20869', '23881', '27629', '10883', '21285', '12184', '11484', '15787', '23852', '20816', '27409', '9875', '25067', '8083']","['26371', '15787', '10883', '11484', '9875', '21285', '27629', '20816', '23852', '20869', '12184', '23881', '20299', '14020', '26703']","['10883' '11484' '12184' '15787' '20816' '20869' '21285' '23852' '23881'
 '26371' '27629' '9875']"
tgm025_preop,"['16506', '25105', '14910', '24928', '15906', '26100', '26623', '15303', '21994', '16365', '26797', '20461', '9282', '20281', '11718']","['24928', '14910', '16365', '25105', '26100', '16506', '15111', '18138', '14020', '10896', '20281', '15787', '15906', '26623', '15303']","['14910' '15303' '15906' '16365' '16506' '20281' '24928' '25105' '26100'
 '26623']"
