tumor,gt_top,encoded_top,intersection
tgm001_preop,"['15140', '12592', '19285', '24648', '16619', '9478', '10662', '22078', '26304', '26267', '22123', '23837', '26291', '10216', '12619']","['19285', '9478', '15140', '12592', '24648', '10662', '23837', '8812', '26267', '16619', '22078', '12619', '19225', '26304', '19488']","['10662' '12592' '12619' '15140' '16619' '19285' '22078' '23837' '24648'
 '26267' '26304' '9478']"
tgm002_preop,"['8512', '16354', '24483', '26688', '15111', '8274', '17972', '14800', '17367', '11618', '14441', '24566', '18378', '21513', '12982']","['11618', '14774', '20237', '16284', '21928', '14721', '16102', '22792', '27047', '26090', '21412', '12243', '24714', '18218', '14194']",['11618']
tgm003_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['20237', '14774', '14721', '21928', '11618', '22792', '16102', '27047', '21412', '26090', '12243', '18218', '24714', '15718', '21302']",[]
tgm004_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['20237', '14774', '14721', '21928', '11618', '22792', '16102', '27047', '21412', '26090', '12243', '18218', '24714', '15718', '21302']",[]
tgm005_preop,"['16428', '22724', '14527', '19930', '8218', '22226', '21711', '14543', '21898', '21862', '23737', '9903', '13762', '10323', '16537']","['22724', '16428', '14527', '19930', '8218', '21898', '23737', '16537', '14543', '21862', '26245', '13730', '27460', '15670', '20165']","['14527' '14543' '16428' '16537' '19930' '21862' '21898' '22724' '23737'
 '8218']"
tgm006_preop,"['8531', '20941', '17098', '17022', '23778', '22357', '21918', '15993', '11124', '8969', '14107', '15932', '8291', '14510', '8822']","['17098', '20941', '8531', '8822', '16065', '17022', '18217', '23778', '8969', '14510', '18299', '15993', '22357', '22116', '25479']","['14510' '15993' '17022' '17098' '20941' '22357' '23778' '8531' '8822'
 '8969']"
tgm008_preop,"['20932', '24992', '9273', '12606', '10889', '22314', '24725', '8694', '26384', '24040', '27523', '11256', '25174', '24959', '17096']","['20932', '24992', '11256', '27523', '9273', '12606', '24725', '26384', '10889', '22314', '8694', '27552', '23739', '17096', '17060']","['10889' '11256' '12606' '17096' '20932' '22314' '24725' '24992' '26384'
 '27523' '8694' '9273']"
tgm009_preop,"['17228', '9768', '20671', '10416', '26122', '27960', '25899', '20046', '15503', '27967', '27123', '23888', '18866', '22542', '11334']","['17228', '9768', '20046', '20671', '27967', '10416', '26122', '27123', '27960', '18866', '15503', '14464', '24599', '25899', '22542']","['10416' '15503' '17228' '18866' '20046' '20671' '22542' '25899' '26122'
 '27123' '27960' '27967' '9768']"
tgm010_preop,"['12948', '16028', '12426', '27066', '25769', '16840', '19359', '8140', '15673', '22952', '10179', '26482', '12102', '22709', '17711']","['12948', '16028', '25769', '19359', '27066', '21359', '15673', '26482', '16736', '22115', '12426', '22952', '10179', '19507', '23144']","['10179' '12426' '12948' '15673' '16028' '19359' '22952' '25769' '26482'
 '27066']"
tgm011_preop,"['27715', '19232', '17681', '19582', '10711', '8496', '9861', '11579', '16477', '13210', '18038', '14513', '17218', '23796', '24555']","['27715', '19232', '17681', '19582', '10711', '8496', '11579', '18038', '13320', '9861', '11576', '17218', '14513', '24555', '18152']","['10711' '11579' '14513' '17218' '17681' '18038' '19232' '19582' '24555'
 '27715' '8496' '9861']"
tgm013_preop,"['8881', '20968', '10106', '21593', '21302', '27172', '19127', '27391', '24134', '18607', '18815', '25525', '23878', '16161', '24633']","['8881', '21412', '21302', '10106', '12243', '11618', '15718', '21012', '27285', '14774', '20237', '21928', '16102', '22792', '27047']",['10106' '21302' '8881']
tgm014_preop,"['26797', '20461', '12366', '13894', '13842', '21994', '11718', '16280', '24244', '18263', '13460', '22265', '15639', '25946', '18465']","['26797', '20461', '12366', '13842', '16280', '22265', '13894', '11718', '18465', '21994', '12271', '12705', '13791', '25911', '13460']","['11718' '12366' '13460' '13842' '13894' '16280' '18465' '20461' '21994'
 '22265' '26797']"
tgm015_preop,"['9840', '8556', '25244', '12647', '13008', '20192', '25479', '19494', '12533', '15552', '9903', '11124', '13126', '15922', '11846']","['25244', '12647', '13008', '9840', '20192', '25479', '8556', '11846', '15922', '11124', '12533', '17492', '14332', '20432', '17022']","['11124' '11846' '12533' '12647' '13008' '15922' '20192' '25244' '25479'
 '8556' '9840']"
tgm016_preop,"['22183', '27126', '8144', '21817', '15944', '27366', '12856', '23429', '15341', '14310', '27562', '25182', '25445', '23055', '17942']","['27126', '8144', '22183', '21817', '23429', '12856', '27366', '15944', '25445', '14310', '15341', '23055', '17479', '13604', '17547']","['12856' '14310' '15341' '15944' '21817' '22183' '23055' '23429' '25445'
 '27126' '27366' '8144']"
tgm017_preop,"['20987', '17725', '16345', '13546', '24580', '24415', '15577', '16457', '22908', '14851', '22604', '19294', '21770', '17421', '25774']","['16345', '20987', '13546', '22710', '18696', '9412', '16457', '12529', '17725', '24580', '25774', '17198', '19898', '20672', '9336']",['13546' '16345' '16457' '17725' '20987' '24580' '25774']
tgm018_preop,"['13172', '26371', '12184', '19377', '20869', '10747', '12277', '25496', '20806', '27409', '10496', '10783', '23047', '23881', '22087']","['16284', '20816', '10747', '25563', '16354', '9875', '23852', '13172', '15787', '8512', '9423', '20299', '26371', '14238', '12675']",['10747' '13172' '26371']
tgm019_preop,"['11055', '21009', '15088', '23550', '26370', '11073', '9233', '11203', '16151', '26809', '27445', '22478', '27985', '11300', '24779']","['27985', '11055', '13604', '17479', '21009', '9233', '23550', '11073', '16151', '19338', '19440', '15088', '26352', '25624', '18406']",['11055' '11073' '15088' '16151' '21009' '23550' '27985' '9233']
tgm021_preop,"['21241', '21951', '18051', '16918', '15044', '22251', '11103', '22324', '12551', '16765', '10140', '18826', '21017', '20092', '18364']","['16918', '22324', '21951', '25742', '22044', '17403', '18051', '16765', '23338', '8374', '19311', '21241', '22251', '14909', '21017']",['16765' '16918' '18051' '21017' '21241' '21951' '22251' '22324']
tgm022_preop,"['11618', '26688', '12354', '14441', '24878', '25806', '13699', '11892', '14860', '17367', '26203', '20578', '25998', '20101', '25088']","['11618', '14441', '11892', '26688', '27002', '15498', '26457', '25558', '12354', '19522', '14860', '10617', '15111', '20101', '10106']",['11618' '11892' '12354' '14441' '14860' '20101' '26688']
tgm023_preop,"['22190', '11506', '24555', '26380', '15670', '18038', '9115', '24409', '22320', '23191', '16408', '12501', '10323', '16477', '9861']","['18038', '22190', '24555', '15670', '11506', '17864', '17681', '9861', '8218', '14422', '20165', '26380', '9115', '14527', '23191']",['11506' '15670' '18038' '22190' '23191' '24555' '26380' '9115' '9861']
tgm024_preop,"['26371', '20869', '23881', '27629', '10883', '21285', '12184', '11484', '15787', '23852', '20816', '27409', '9875', '25067', '8083']","['26371', '10883', '21285', '27629', '15787', '11484', '20869', '12184', '9875', '23852', '20816', '23881', '8041', '8083', '15303']","['10883' '11484' '12184' '15787' '20816' '20869' '21285' '23852' '23881'
 '26371' '27629' '8083' '9875']"
tgm025_preop,"['16506', '25105', '14910', '24928', '15906', '26100', '26623', '15303', '21994', '16365', '26797', '20461', '9282', '20281', '11718']","['16365', '24928', '14910', '25105', '26100', '16506', '14020', '18138', '15906', '26623', '15111', '10896', '15787', '20281', '19031']",['14910' '15906' '16365' '16506' '20281' '24928' '25105' '26100' '26623']
tgm026_preop,"['16894', '18815', '23920', '26100', '27172', '22860', '15187', '18913', '16077', '24416', '13832', '13187', '16506', '21470', '26389']","['23920', '26100', '18815', '16894', '21470', '27172', '16077', '16506', '24757', '20281', '22860', '15187', '13352', '13832', '24277']","['13832' '15187' '16077' '16506' '16894' '18815' '21470' '22860' '23920'
 '26100' '27172']"
tgm027_preop,"['11177', '19974', '16691', '26109', '17729', '9124', '24419', '23960', '24083', '9200', '18140', '24714', '13705', '14774', '9730']","['11177', '17729', '9124', '16691', '24714', '26109', '14774', '24419', '9730', '19974', '23960', '24083', '9623', '18140', '13705']","['11177' '13705' '14774' '16691' '17729' '18140' '19974' '23960' '24083'
 '24419' '24714' '26109' '9124' '9730']"
tgm028_preop,"['18108', '20354', '13551', '17180', '21181', '23266', '17817', '15947', '25278', '11789', '17718', '16621', '23922', '14491', '15860']","['18108', '20354', '13551', '17718', '23266', '17180', '25278', '15947', '21181', '16621', '14491', '26596', '17046', '19124', '18676']","['13551' '14491' '15947' '16621' '17180' '17718' '18108' '20354' '21181'
 '23266' '25278']"
tgm029_preop,"['11472', '12969', '21614', '13206', '9209', '19247', '20096', '14191', '11151', '24516', '26713', '19282', '20930', '15411', '26844']","['12969', '11472', '21614', '14191', '24769', '11151', '13206', '20096', '19247', '22094', '24765', '9209', '19852', '16631', '26844']","['11151' '11472' '12969' '13206' '14191' '19247' '20096' '21614' '26844'
 '9209']"
tgm030_preop,"['8000', '8001', '8002', '8003', '8004', '8005', '8006', '8007', '8008', '8009', '8010', '8011', '8012', '8013', '8014']","['20237', '14774', '14721', '21928', '11618', '22792', '16102', '27047', '21412', '26090', '12243', '18218', '24714', '15718', '21302']",[]
