tumor,gt_top,encoded_top,intersection
tgm001_preop,"['5509', '5133', '5684', '4608', '4718', '5044', '5956', '4742', '5694', '5888', '5406', '5751', '4782', '5992', '5741']","['5509', '4608', '5133', '4718', '5684', '4782', '5956', '5044', '5751', '4742', '5694', '5888', '5564', '5431', '5741']","['4608' '4718' '4742' '4782' '5044' '5133' '5509' '5684' '5694' '5741'
 '5751' '5888' '5956']"
tgm002_preop,"['4919', '5211', '5112', '5915', '5164', '4693', '4595', '5016', '4957', '4711', '4474', '5550', '5923', '4302', '5920']","['5815', '4535', '4087', '4896', '5243', '5206', '4137', '4082', '5619', '4702', '4919', '5184', '5677', '5767', '4668']",['4919']
tgm003_preop,"['4000', '4001', '4002', '4003', '4004', '4005', '4006', '4007', '4008', '4009', '4010', '4011', '4012', '4013', '4014']","['5815', '4896', '5243', '4087', '4137', '5206', '4535', '5619', '4082', '4702', '5677', '5767', '5958', '4668', '5771']",[]
tgm004_preop,"['4000', '4001', '4002', '4003', '4004', '4005', '4006', '4007', '4008', '4009', '4010', '4011', '4012', '4013', '4014']","['5815', '4896', '5243', '4087', '4137', '5206', '4535', '5619', '4082', '4702', '5677', '5767', '5958', '4668', '5771']",[]
tgm005_preop,"['4984', '5105', '4789', '4507', '4476', '4657', '4709', '4230', '4134', '5955', '4056', '4609', '5230', '4814', '5449']","['4984', '5105', '4789', '4657', '4476', '4134', '4507', '4223', '4609', '4814', '4709', '4502', '4056', '4668', '5100']","['4056' '4134' '4476' '4507' '4609' '4657' '4709' '4789' '4814' '4984'
 '5105']"
tgm006_preop,"['5574', '4632', '5358', '4475', '4137', '4609', '5063', '5713', '4230', '4956', '4659', '4986', '4049', '5595', '4056']","['4137', '5574', '4632', '4475', '5358', '5958', '5063', '5767', '5533', '4663', '4049', '5677', '4488', '4956', '4609']",['4049' '4137' '4475' '4609' '4632' '4956' '5063' '5358' '5574']
tgm008_preop,"['5355', '4563', '5249', '5245', '5219', '5788', '5948', '5702', '5934', '4877', '5395', '4166', '5488', '5212', '5326']","['5355', '5249', '5788', '5948', '4548', '4796', '5219', '4563', '4738', '5233', '5245', '5845', '4902', '4979', '5433']",['4563' '5219' '5245' '5249' '5355' '5788' '5948']
tgm009_preop,"['4999', '4772', '5575', '5715', '5731', '5009', '4092', '5974', '4416', '4202', '5397', '4250', '4372', '5650', '4016']","['4999', '4772', '5715', '4202', '5575', '5450', '5100', '4285', '5731', '4416', '4663', '4373', '5892', '5337', '5974']",['4202' '4416' '4772' '4999' '5575' '5715' '5731' '5974']
tgm010_preop,"['4406', '5745', '5926', '4330', '5081', '5053', '5472', '5322', '4105', '4616', '5442', '5190', '5778', '5989', '5540']","['4406', '5745', '5926', '4330', '5081', '5322', '5053', '5589', '5482', '5778', '4087', '5472', '5969', '4159', '5024']",['4330' '4406' '5053' '5081' '5322' '5472' '5745' '5778' '5926']
tgm011_preop,"['5686', '4668', '5408', '4201', '5003', '4709', '4888', '5955', '5449', '5230', '4448', '5570', '4328', '5742', '4040']","['5686', '4668', '5003', '4888', '5408', '4709', '4201', '5955', '5449', '4476', '4328', '5422', '4448', '5383', '5230']","['4201' '4328' '4448' '4668' '4709' '4888' '5003' '5230' '5408' '5449'
 '5686' '5955']"
tgm013_preop,"['4979', '5021', '4352', '4289', '5112', '4133', '5032', '5967', '4877', '5928', '5591', '5646', '4217', '4738', '5550']","['4087', '5815', '4896', '5243', '5206', '4919', '4535', '4217', '4137', '4082', '5184', '5619', '4702', '5677', '5958']",['4217']
tgm014_preop,"['4796', '5599', '5233', '4976', '5845', '5671', '4563', '4848', '4653', '4822', '5395', '4933', '4349', '5640', '4700']","['4796', '5233', '4976', '4933', '5671', '5845', '5766', '4848', '5250', '5589', '5599', '5640', '4822', '4700', '5563']","['4700' '4796' '4822' '4848' '4933' '4976' '5233' '5599' '5640' '5671'
 '5845']"
tgm015_preop,"['4230', '5955', '5574', '4056', '5449', '4814', '4709', '4049', '5452', '4507', '4956', '4193', '4818', '4488', '4412']","['5574', '4230', '5955', '4049', '5449', '5452', '4709', '4056', '4412', '4012', '4956', '4193', '5358', '4814', '4488']","['4049' '4056' '4193' '4230' '4412' '4488' '4709' '4814' '4956' '5449'
 '5452' '5574' '5955']"
tgm016_preop,"['4741', '5844', '5284', '4933', '4297', '4787', '5405', '4637', '5250', '4257', '5197', '4492', '4149', '4290', '5000']","['4741', '5844', '5284', '4933', '4787', '4637', '5250', '4297', '5405', '4876', '4006', '4290', '4159', '5671', '5197']","['4290' '4297' '4637' '4741' '4787' '4933' '5197' '5250' '5284' '5405'
 '5844']"
tgm017_preop,"['5406', '5044', '4569', '5059', '5992', '4939', '4357', '5431', '5227', '4718', '5684', '5133', '5197', '5751', '5764']","['5406', '5059', '5044', '4939', '5992', '4357', '5431', '4569', '4257', '4389', '4376', '4403', '5448', '5227', '5197']",['4357' '4569' '4939' '5044' '5059' '5197' '5227' '5406' '5431' '5992']
tgm018_preop,"['4099', '5464', '5511', '4595', '5164', '5835', '4090', '4143', '4441', '4711', '4302', '5007', '5542', '4125', '4841']","['5464', '4099', '5776', '4919', '5513', '5024', '5292', '5677', '4143', '5243', '4896', '5815', '4082', '4137', '4087']",['4099' '4143' '5464']
tgm019_preop,"['5671', '4297', '5048', '4578', '4311', '4787', '4933', '4427', '5250', '5917', '4471', '5844', '5013', '4745', '4565']","['4933', '4578', '5671', '4787', '4297', '5048', '4311', '5250', '5844', '4637', '4848', '4427', '5640', '5284', '5766']",['4297' '4311' '4427' '4578' '4787' '4933' '5048' '5250' '5671' '5844']
