tumor,gt_top,encoded_top,intersection
tgm057_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535', '5337']","['5355', '5249', '5948', '5934', '5677', '5788', '5245', '5998', '5424', '4996', '5672', '4563', '5395', '5714', '4840']",['4996' '5677']
tgm058_preop,"['4057', '5767', '5997', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4137']","['4057', '4351', '5545', '5034', '5861', '4898', '5864', '5280', '5714', '5323', '5440', '4388', '5370', '5129', '4840']",['4057']
tgm059_preop,"['5412', '5244', '5902', '5464', '5797', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815']","['5412', '5797', '4900', '5647', '4875', '4957', '4865', '4658', '4101', '5947', '5714', '5920', '4828', '4315', '4406']",['5412' '5797']
tgm060_preop,"['4796', '5233', '5845', '4548', '4563', '4902', '5563', '5219', '4087', '4668', '4373', '4996', '5677', '5450', '5904']","['4563', '4796', '5233', '5845', '5395', '5788', '5488', '5249', '4653', '4166', '5702', '4548', '5730', '5219', '5187']",['4548' '4563' '4796' '5219' '5233' '5845']
tgm061_preop,"['5323', '5137', '5401', '4293', '4057', '5767', '4632', '5905', '5545', '5595', '4137', '5129', '5661', '5370', '5071']","['5323', '5129', '4293', '5595', '5864', '5137', '4057', '5545', '5440', '5861', '5767', '5071', '5661', '5370', '5055']","['4057' '4293' '5071' '5129' '5137' '5323' '5370' '5545' '5595' '5661'
 '5767']"
tgm062_preop,"['5147', '4285', '4202', '4504', '4373', '5784', '4502', '5715', '4223', '5100', '4999', '4772', '4359', '4910', '4621']","['5147', '4285', '4202', '5784', '5653', '4504', '4581', '4016', '5033', '4678', '4502', '4005', '4363', '4223', '4115']",['4202' '4223' '4285' '4502' '4504' '5147' '5784']
tgm063_preop,"['5218', '4373', '5533', '4202', '4668', '4285', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082']","['5218', '5147', '4016', '5916', '4504', '5677', '4557', '5138', '5714', '5651', '4225', '5155', '4676', '5811', '4864']",['5218' '5677']
tgm064_preop,"['4968', '4087', '4465', '5808', '5563', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4702', '5815', '4082']","['4068', '4968', '4321', '5214', '4683', '4465', '4108', '4210', '4820', '5563', '4890', '4994', '4324', '4131', '5880']",['4465' '4968' '5563']
tgm065_preop,"['5508', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535']","['5508', '5714', '5481', '4629', '4225', '4996', '4894', '4840', '5354', '5677', '5791', '4839', '4397', '5871', '5815']",['4996' '5508' '5677' '5815']
tgm066_preop,"['5464', '5024', '4614', '5513', '5765', '4668', '4373', '4996', '5677', '4099', '5450', '5904', '5383', '4087', '4702']","['5464', '4865', '5164', '4595', '4614', '4143', '5024', '4875', '4996', '5791', '4099', '5513', '4711', '5545', '4449']",['4099' '4614' '4996' '5024' '5464' '5513']
tgm067_preop,"['4984', '4609', '4230', '5105', '4507', '4134', '5574', '4056', '4789', '4476', '4663', '4657', '4814', '5100', '4017']","['4230', '4984', '4056', '4814', '4507', '4818', '5105', '4609', '4956', '4488', '4193', '5990', '4580', '4170', '4093']",['4056' '4230' '4507' '4609' '4814' '4984' '5105']
tgm068_preop,"['4312', '5363', '5505', '4126', '4323', '5904', '4608', '5694', '4290', '5628', '4876', '5227', '4782', '5039', '4896']","['4312', '5363', '4126', '4323', '5505', '5694', '5628', '5904', '5741', '4398', '5874', '4823', '4838', '5856', '4850']",['4126' '4312' '4323' '5363' '5505' '5628' '5694' '5904']
tgm071_preop,"['5233', '4548', '4796', '5845', '4902', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815']","['5845', '5219', '5233', '5187', '5702', '4472', '4548', '5730', '5671', '5714', '4225', '5395', '4653', '5975', '4996']",['4548' '4996' '5233' '5845']
