tumor,gt_top,encoded_top,intersection
tgm001_preop,"['9478', '25825', '15140', '26267', '23251', '20098', '22078', '16619', '19285', '25821', '12592', '11461', '10662', '12619', '18204']","['19285', '9478', '15140', '12592', '24648', '26267', '16619', '10662', '23837', '8812', '12619', '22078', '19225', '26304', '14738']",['10662' '12592' '12619' '15140' '16619' '19285' '22078' '26267' '9478']
tgm002_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['20237', '16102', '12993', '14721', '11618', '26090', '12243', '10896', '10251', '14774', '21928', '27047', '21888', '18180', '20299']",['10896' '11618' '14774' '18180' '26090']
tgm003_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['20237', '16102', '12993', '14721', '26090', '12243', '10896', '10251', '14774', '21928', '11618', '27047', '21888', '18180', '21365']",['10896' '11618' '14774' '18180' '26090']
tgm004_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['20237', '16102', '12993', '14721', '26090', '12243', '10896', '10251', '14774', '21928', '11618', '27047', '21888', '18180', '21365']",['10896' '11618' '14774' '18180' '26090']
tgm005_preop,"['8218', '16428', '14527', '21862', '22190', '26245', '20165', '10323', '15670', '11506', '27460', '23737', '26380', '21674', '24555']","['22724', '16428', '19930', '14527', '21898', '8218', '21862', '23737', '16537', '14543', '27460', '21674', '13730', '26245', '15183']",['14527' '16428' '21674' '21862' '23737' '26245' '27460' '8218']
tgm006_preop,"['17098', '20941', '8822', '16065', '8531', '18217', '23401', '12147', '16992', '11618', '18180', '14774', '26450', '10896', '16900']","['17098', '20941', '8822', '18217', '8531', '16065', '18299', '17022', '8969', '14510', '22116', '22360', '16695', '12147', '23778']",['12147' '16065' '17098' '18217' '20941' '8531' '8822']
tgm008_preop,"['24992', '20932', '27523', '11256', '9273', '26384', '12606', '24725', '8694', '10889', '11590', '11618', '16992', '18180', '14774']","['11256', '27523', '20932', '24992', '9273', '24725', '26384', '12606', '10889', '11590', '8694', '9138', '14175', '23739', '24459']","['10889' '11256' '11590' '12606' '20932' '24725' '24992' '26384' '27523'
 '8694' '9273']"
tgm009_preop,"['17228', '9768', '27967', '20046', '18866', '27123', '20671', '27960', '11618', '16992', '18180', '14774', '26450', '10896', '14464']","['17228', '20046', '9768', '27967', '27123', '20671', '27960', '14464', '24599', '15503', '18866', '10416', '26122', '21959', '18125']",['14464' '17228' '18866' '20046' '20671' '27123' '27960' '27967' '9768']
tgm010_preop,"['19507', '19359', '24280', '22952', '8161', '25769', '17711', '12948', '16028', '21359', '8129', '8140', '17188', '10896', '12426']","['12948', '16028', '25769', '19359', '21359', '27066', '26482', '22952', '15673', '12426', '22115', '16736', '8140', '19507', '10179']",['12426' '12948' '16028' '19359' '19507' '21359' '22952' '25769' '8140']
tgm011_preop,"['27715', '18038', '17681', '24555', '9861', '19232', '19582', '17864', '24515', '15670', '16477', '16332', '21477', '11506', '15603']","['27715', '19232', '17681', '19582', '10711', '8496', '11579', '13320', '18038', '9861', '11576', '14513', '24515', '17218', '17286']",['17681' '18038' '19232' '19582' '24515' '27715' '9861']
tgm013_preop,"['8881', '11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '10106', '27185']","['12243', '20237', '11618', '16102', '12993', '10896', '10251', '14721', '26090', '14774', '27047', '21928', '18180', '8881', '21888']",['10896' '11618' '14774' '18180' '26090' '8881']
tgm014_preop,"['15639', '21994', '22265', '26797', '20461', '13894', '12366', '12271', '19982', '16506', '13717', '18465', '11718', '24459', '20655']","['26797', '20461', '12366', '13842', '16280', '22265', '13894', '25911', '18465', '12705', '11718', '12271', '23139', '13460', '25946']",['11718' '12271' '12366' '13894' '18465' '20461' '22265' '26797']
tgm015_preop,"['12647', '9840', '17349', '20192', '8822', '17022', '25479', '20941', '11846', '8556', '16753', '11124', '20162', '20432', '17492']","['25244', '12647', '13008', '25479', '9840', '20192', '12533', '8556', '11846', '15922', '17022', '20432', '11124', '17492', '14332']","['11124' '11846' '12647' '17022' '17492' '20192' '20432' '25479' '8556'
 '9840']"
tgm016_preop,"['22183', '27126', '12856', '8144', '23055', '23429', '27366', '9623', '25445', '13798', '21817', '24419', '16691', '14774', '26957']","['27126', '8144', '22183', '21817', '23429', '27366', '15944', '12856', '25445', '14310', '15341', '17547', '13604', '17479', '23055']",['12856' '21817' '22183' '23055' '23429' '25445' '27126' '27366' '8144']
tgm017_preop,"['20987', '8546', '21993', '17725', '15577', '27590', '16457', '8052', '24415', '23039', '14007', '13449', '13546', '16660', '24580']","['20987', '16345', '13546', '16457', '22710', '18696', '9412', '24580', '10876', '12529', '25534', '17725', '17198', '24415', '25774']",['13546' '16457' '17725' '20987' '24415' '24580']
tgm018_preop,"['20816', '11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '16284', '18218', '9500', '21356', '23251', '27185']","['16284', '20816', '20299', '25563', '9875', '15787', '16354', '8512', '10747', '15688', '18370', '23852', '21365', '9255', '26371']",['16284' '20816']
tgm019_preop,"['27985', '21009', '18406', '16151', '25624', '25980', '21045', '11055', '11575', '17479', '27366', '9233', '18477', '19338', '19440']","['11055', '27985', '13604', '17479', '23550', '21009', '11073', '9233', '27445', '16995', '16151', '15088', '19440', '9591', '26352']",['11055' '16151' '17479' '19440' '21009' '27985' '9233']
tgm021_preop,"['11103', '20092', '18826', '21241', '15197', '16142', '11176', '8918', '16765', '18364', '9867', '18008', '13006', '19311', '16059']","['19311', '16918', '22324', '27167', '21241', '21951', '12459', '18740', '25742', '19573', '16765', '14813', '8374', '12229', '14909']",['16765' '19311' '21241']
tgm022_preop,"['11618', '14441', '11892', '26688', '16992', '18180', '27185', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356']","['11618', '14441', '27002', '15498', '19522', '11892', '25558', '15111', '26688', '12243', '26457', '20370', '10617', '10106', '21278']",['11618' '11892' '14441' '26688']
tgm023_preop,"['22190', '18038', '11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185']","['18038', '22190', '24555', '17864', '8218', '14422', '15670', '11506', '20165', '25641', '12993', '17681', '20237', '10132', '27047']",['18038' '22190']
tgm024_preop,"['26371', '20816', '15787', '9875', '23852', '11484', '27629', '21285', '10883', '20299', '23881', '20869', '20806', '26703', '16354']","['26371', '15787', '10883', '11484', '9875', '27629', '21285', '23852', '20816', '20869', '12184', '23881', '26703', '14020', '20299']","['10883' '11484' '15787' '20299' '20816' '20869' '21285' '23852' '23881'
 '26371' '26703' '27629' '9875']"
