tumor,gt_top,encoded_top,intersection
tgm057_preop,"['4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535', '5337']","['4548', '5233', '4796', '5845', '5249', '5355', '4563', '5245', '5219', '5771', '4282', '5488', '4653', '5934', '5702']",[]
tgm058_preop,"['4057', '5767', '5997', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4137']","['4057', '5545', '4293', '4351', '5401', '5997', '5767', '5771', '5864', '5217', '5129', '4128', '4663', '4676', '4082']",['4057' '4082' '5767' '5997']
tgm059_preop,"['5412', '5244', '5902', '5464', '5797', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815']","['5412', '4406', '5797', '4900', '4658', '4828', '5771', '4128', '5920', '5851', '5234', '5385', '5779', '4057', '4614']",['5412' '5797']
tgm060_preop,"['4796', '5233', '5845', '4548', '4563', '4902', '5563', '5219', '4087', '4668', '4373', '4996', '5677', '5450', '5904']","['5712', '5053', '4548', '4349', '5233', '4563', '5845', '4933', '5827', '4882', '4796', '4420', '4690', '5737', '5249']",['4548' '4563' '4796' '5233' '5845']
tgm061_preop,"['5323', '5137', '5401', '4293', '4057', '5767', '4632', '5905', '5545', '5595', '4137', '5129', '5661', '5370', '5071']","['4057', '5129', '5323', '5545', '4293', '4663', '5864', '4351', '5595', '4986', '5661', '4804', '5905', '4632', '5055']",['4057' '4293' '4632' '5129' '5323' '5545' '5595' '5661' '5905']
tgm062_preop,"['5147', '4285', '4202', '4504', '4373', '5784', '4502', '5715', '4223', '5100', '4999', '4772', '4359', '4910', '4621']","['5318', '4071', '4678', '4657', '5784', '4663', '5147', '4115', '5783', '5562', '4580', '4005', '4504', '4285', '4502']",['4285' '4502' '4504' '5147' '5784']
tgm063_preop,"['5218', '4373', '5533', '4202', '4668', '4285', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082']","['4504', '4657', '5318', '4678', '5783', '4663', '4071', '4984', '5147', '5562', '4581', '5218', '5784', '4440', '4580']",['5218']
tgm064_preop,"['4968', '4087', '4465', '5808', '5563', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4702', '5815', '4082']","['4321', '5808', '4994', '5081', '4263', '4330', '4968', '5482', '5329', '4087', '5563', '5214', '5778', '5692', '5745']",['4087' '4968' '5563' '5808']
tgm065_preop,"['5508', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815', '4082', '4126', '5958', '4535']","['5508', '4034', '4894', '4629', '5481', '4559', '5888', '4862', '5771', '5246', '4128', '4118', '4676', '5969', '4082']",['4082' '5508']
tgm066_preop,"['5464', '5024', '4614', '5513', '5765', '4668', '4373', '4996', '5677', '4099', '5450', '5904', '5383', '4087', '4702']","['5464', '5513', '5024', '4143', '5164', '4614', '5412', '5771', '4595', '5500', '4865', '4128', '4057', '4913', '5385']",['4614' '5024' '5464' '5513']
tgm067_preop,"['4984', '4609', '4230', '5105', '4507', '4134', '5574', '4056', '4789', '4476', '4663', '4657', '4814', '5100', '4017']","['4230', '4056', '4814', '5574', '4984', '4507', '4488', '5105', '5955', '4193', '4527', '4609', '5449', '4956', '4412']",['4056' '4230' '4507' '4609' '4814' '4984' '5105' '5574']
tgm068_preop,"['4312', '5363', '5505', '4126', '4323', '5904', '4608', '5694', '4290', '5628', '4876', '5227', '4782', '5039', '4896']","['4232', '5628', '5448', '5856', '4892', '4718', '4850', '5059', '5684', '5764', '5454', '5687', '4312', '4939', '4569']",['4312' '5628']
tgm071_preop,"['5233', '4548', '4796', '5845', '4902', '4668', '4373', '4996', '5677', '5450', '5904', '5383', '4087', '4702', '5815']","['5845', '4563', '5233', '4548', '4822', '4349', '5069', '5395', '4796', '5245', '5219', '5355', '4835', '5771', '5032']",['4548' '4796' '5233' '5845']
