tumor,gt_top,encoded_top,intersection
tgm001_preop,"['5509', '5133', '5684', '4608', '4718', '5044', '5956', '4742', '5694', '5888', '5406', '5751', '4782', '5992', '5741']","['5509', '5133', '4718', '4608', '5684', '5956', '4742', '5888', '5044', '4782', '5751', '4823', '5694', '5992', '5431']","['4608' '4718' '4742' '4782' '5044' '5133' '5509' '5684' '5694' '5751'
 '5888' '5956' '5992']"
tgm002_preop,"['4919', '5211', '5112', '5915', '5164', '4693', '4595', '5016', '4957', '4711', '4474', '5550', '5923', '4302', '5920']","['5714', '4996', '5677', '4225', '5871', '4840', '5354', '5791', '4839', '5815', '4553', '4126', '5730', '4397', '5767']",[]
tgm003_preop,"['4000', '4001', '4002', '4003', '4004', '4005', '4006', '4007', '4008', '4009', '4010', '4011', '4012', '4013', '4014']","['5714', '4996', '5677', '4225', '5871', '4840', '5354', '5791', '4839', '5815', '4553', '4126', '5730', '4397', '5767']",[]
tgm004_preop,"['4000', '4001', '4002', '4003', '4004', '4005', '4006', '4007', '4008', '4009', '4010', '4011', '4012', '4013', '4014']","['5714', '4996', '5677', '4225', '5871', '4840', '5354', '5791', '4839', '5815', '4553', '4126', '5730', '4397', '5767']",[]
tgm005_preop,"['4984', '5105', '4789', '4507', '4476', '4657', '4709', '4230', '4134', '5955', '4056', '4609', '5230', '4814', '5449']","['5105', '4709', '4984', '5955', '4789', '5714', '4996', '4888', '4225', '4476', '5767', '4515', '4704', '5431', '5003']",['4476' '4709' '4789' '4984' '5105' '5955']
tgm006_preop,"['5574', '4632', '5358', '4475', '4137', '4609', '5063', '5713', '4230', '4956', '4659', '4986', '4049', '5595', '4056']","['5574', '5358', '4230', '4632', '4137', '4527', '4956', '5713', '5714', '4488', '4225', '4659', '4056', '5677', '4840']",['4056' '4137' '4230' '4632' '4659' '4956' '5358' '5574' '5713']
tgm008_preop,"['5355', '4563', '5249', '5245', '5219', '5788', '5948', '5702', '5934', '4877', '5395', '4166', '5488', '5212', '5326']","['5355', '5249', '5245', '5788', '4563', '4877', '5677', '5395', '5934', '4996', '5948', '5998', '5714', '4840', '5871']",['4563' '4877' '5245' '5249' '5355' '5395' '5788' '5934' '5948']
tgm009_preop,"['4999', '4772', '5575', '5715', '5731', '5009', '4092', '5974', '4416', '4202', '5397', '4250', '4372', '5650', '4016']","['4999', '4772', '5575', '5731', '5714', '4840', '4016', '4225', '4250', '4996', '5545', '5650', '5677', '4839', '4137']",['4016' '4250' '4772' '4999' '5575' '5650' '5731']
tgm010_preop,"['4406', '5745', '5926', '4330', '5081', '5053', '5472', '5322', '4105', '4616', '5442', '5190', '5778', '5989', '5540']","['4406', '5926', '5745', '4330', '5472', '5322', '5714', '5190', '4840', '4225', '5677', '5888', '5081', '4996', '4305']",['4330' '4406' '5081' '5190' '5322' '5472' '5745' '5926']
tgm011_preop,"['5686', '4668', '5408', '4201', '5003', '4709', '4888', '5955', '5449', '5230', '4448', '5570', '4328', '5742', '4040']","['5686', '4668', '4709', '5408', '4201', '4448', '5003', '5955', '4040', '5230', '4814', '4888', '5287', '5449', '4045']","['4040' '4201' '4448' '4668' '4709' '4888' '5003' '5230' '5408' '5449'
 '5686' '5955']"
