tumor,gt_top,encoded_top,intersection
tgm001_preop,"['5509', '5133', '5684', '4608', '4718', '5044', '5956', '4742', '5694', '5888', '5406', '5751', '4782', '5992', '5741']","['5509', '5133', '5684', '4608', '4718', '4782', '5044', '5956', '5751', '5431', '5771', '4149', '4742', '5694', '5039']","['4608' '4718' '4742' '4782' '5044' '5133' '5509' '5684' '5694' '5751'
 '5956']"
tgm002_preop,"['4919', '5211', '5112', '5915', '5164', '4693', '4595', '5016', '4957', '4711', '4474', '5550', '5923', '4302', '5920']","['5771', '5433', '5815', '5520', '4535', '4663', '5677', '4840', '4738', '4996', '5450', '4866', '4668', '5243', '4453']",[]
tgm003_preop,"['4000', '4001', '4002', '4003', '4004', '4005', '4006', '4007', '4008', '4009', '4010', '4011', '4012', '4013', '4014']","['5771', '5433', '5815', '4535', '4663', '5520', '5677', '4840', '4738', '4996', '5450', '4866', '4668', '5243', '4453']",[]
tgm004_preop,"['4000', '4001', '4002', '4003', '4004', '4005', '4006', '4007', '4008', '4009', '4010', '4011', '4012', '4013', '4014']","['5771', '5433', '5815', '4535', '4663', '5520', '5677', '4840', '4738', '4996', '5450', '4866', '4668', '5243', '4453']",[]
tgm005_preop,"['4984', '5105', '4789', '4507', '4476', '4657', '4709', '4230', '4134', '5955', '4056', '4609', '5230', '4814', '5449']","['4984', '5433', '5771', '4709', '4535', '5815', '5767', '5105', '5450', '5677', '4840', '4453', '5958', '5243', '4996']",['4709' '4984' '5105']
tgm006_preop,"['5574', '4632', '5358', '4475', '4137', '4609', '5063', '5713', '4230', '4956', '4659', '4986', '4049', '5595', '4056']","['5574', '5771', '5433', '4840', '4663', '4137', '4632', '5358', '4056', '4230', '5713', '4866', '5815', '5714', '5520']",['4056' '4137' '4230' '4632' '5358' '5574' '5713']
tgm008_preop,"['5355', '4563', '5249', '5245', '5219', '5788', '5948', '5702', '5934', '4877', '5395', '4166', '5488', '5212', '5326']","['5355', '5249', '5771', '5788', '4563', '5934', '5245', '5219', '5815', '5395', '4128', '5433', '4663', '4535', '5702']",['4563' '5219' '5245' '5249' '5355' '5395' '5702' '5788' '5934']
tgm009_preop,"['4999', '4772', '5575', '5715', '5731', '5009', '4092', '5974', '4416', '4202', '5397', '4250', '4372', '5650', '4016']","['4999', '4772', '5575', '4202', '5731', '5771', '4285', '5433', '5715', '5147', '4535', '5520', '4663', '5009', '5545']",['4202' '4772' '4999' '5009' '5575' '5715' '5731']
tgm010_preop,"['4406', '5745', '5926', '4330', '5081', '5053', '5472', '5322', '4105', '4616', '5442', '5190', '5778', '5989', '5540']","['5745', '5926', '4406', '5771', '5778', '4330', '5433', '5677', '5081', '5482', '4663', '5322', '5815', '4738', '4866']",['4330' '4406' '5081' '5322' '5745' '5778' '5926']
tgm011_preop,"['5686', '4668', '5408', '4201', '5003', '4709', '4888', '5955', '5449', '5230', '4448', '5570', '4328', '5742', '4040']","['4668', '5686', '4709', '5003', '5955', '4201', '5408', '4888', '4448', '5771', '5230', '4663', '5433', '5482', '4840']",['4201' '4448' '4668' '4709' '4888' '5003' '5230' '5408' '5686' '5955']
tgm013_preop,"['4979', '5021', '4352', '4289', '5112', '4133', '5032', '5967', '4877', '5928', '5591', '5646', '4217', '4738', '5550']","['5771', '5433', '5815', '4663', '4535', '5520', '5677', '4738', '4840', '4996', '4866', '5450', '4668', '5243', '4453']",['4738']
tgm014_preop,"['4796', '5599', '5233', '4976', '5845', '5671', '4563', '4848', '4653', '4822', '5395', '4933', '4349', '5640', '4700']","['4796', '5845', '5233', '5771', '4653', '5599', '5671', '4563', '5395', '5326', '4822', '4933', '5433', '4183', '4976']","['4563' '4653' '4796' '4822' '4933' '4976' '5233' '5395' '5599' '5671'
 '5845']"
tgm015_preop,"['4230', '5955', '5574', '4056', '5449', '4814', '4709', '4049', '5452', '4507', '4956', '4193', '4818', '4488', '4412']","['4230', '5955', '5574', '4056', '4049', '5449', '4984', '4709', '4814', '4956', '4412', '4488', '4507', '5452', '4193']","['4049' '4056' '4193' '4230' '4412' '4488' '4507' '4709' '4814' '4956'
 '5449' '5452' '5574' '5955']"
tgm016_preop,"['4741', '5844', '5284', '4933', '4297', '4787', '5405', '4637', '5250', '4257', '5197', '4492', '4149', '4290', '5000']","['4741', '5844', '5284', '5405', '4297', '4933', '5250', '5771', '4787', '5197', '4492', '5433', '4535', '4637', '5994']","['4297' '4492' '4637' '4741' '4787' '4933' '5197' '5250' '5284' '5405'
 '5844']"
tgm017_preop,"['5406', '5044', '4569', '5059', '5992', '4939', '4357', '5431', '5227', '4718', '5684', '5133', '5197', '5751', '5764']","['5406', '5044', '5992', '5059', '4939', '5227', '5431', '5684', '4569', '5422', '5764', '5751', '4718', '5133', '5771']","['4569' '4718' '4939' '5044' '5059' '5133' '5227' '5406' '5431' '5684'
 '5751' '5764' '5992']"
tgm018_preop,"['4099', '5464', '5511', '4595', '5164', '5835', '4090', '4143', '4441', '4711', '4302', '5007', '5542', '4125', '4841']","['4099', '5771', '5433', '5464', '5520', '5677', '4663', '4535', '5815', '4996', '4738', '4453', '4840', '4668', '4866']",['4099' '5464']
tgm019_preop,"['5671', '4297', '5048', '4578', '4311', '4787', '4933', '4427', '5250', '5917', '4471', '5844', '5013', '4745', '4565']","['4311', '4578', '5048', '4297', '5671', '4787', '5640', '5844', '5250', '4848', '4933', '4471', '5284', '4707', '5842']",['4297' '4311' '4471' '4578' '4787' '4933' '5048' '5250' '5671' '5844']
tgm021_preop,"['5412', '4900', '4658', '5466', '4567', '5797', '5292', '5902', '5244', '4983', '5660', '5871', '5102', '4636', '5086']","['5871', '5748', '5412', '4983', '5660', '5244', '5912', '4567', '5958', '5068', '5771', '5902', '4793', '5815', '4661']",['4567' '4983' '5244' '5412' '5660' '5871' '5902']
tgm022_preop,"['4835', '5184', '4919', '5630', '4519', '4641', '5016', '5214', '5915', '4863', '4131', '4345', '5235', '4847', '4683']","['5771', '4535', '5433', '5677', '5520', '5815', '4663', '4996', '4840', '5958', '4738', '5450', '4866', '4396', '5243']",[]
tgm023_preop,"['5105', '4476', '4134', '5686', '5408', '4668', '4984', '5449', '4507', '4709', '5230', '5955', '5889', '5003', '4609']","['4668', '5771', '5433', '5686', '5815', '4663', '4535', '5520', '5677', '4996', '4738', '5958', '5450', '4840', '5243']",['4668' '5686']
tgm024_preop,"['5464', '4143', '5024', '5164', '4595', '4865', '4614', '4711', '4099', '5500', '5712', '5007', '5931', '5101', '4302']","['5464', '5164', '4143', '4595', '5024', '5771', '4865', '4711', '4099', '5433', '4535', '5815', '5520', '4614', '4663']",['4099' '4143' '4595' '4614' '4711' '4865' '5024' '5164' '5464']
tgm025_preop,"['5024', '5712', '4822', '5069', '4614', '5500', '5164', '4352', '5032', '4595', '4796', '5112', '4882', '5101', '5053']","['5771', '5712', '4663', '4352', '5815', '5433', '4796', '5677', '5520', '4535', '5450', '4840', '5069', '4866', '4738']",['4352' '4796' '5069' '5712']
tgm026_preop,"['4352', '5069', '5032', '5112', '5021', '5967', '4822', '4979', '5928', '4563', '5502', '5395', '4877', '4166', '5249']","['4352', '5032', '5069', '4822', '4979', '5112', '5021', '5967', '5502', '5395', '4563', '5771', '5433', '4535', '4738']","['4352' '4563' '4822' '4979' '5021' '5032' '5069' '5112' '5395' '5502'
 '5967']"
tgm027_preop,"['4290', '5227', '4424', '4031', '4876', '4637', '5764', '5493', '5216', '4241', '5363', '4600', '5065', '5380', '4817']","['4290', '5227', '4424', '4031', '5433', '4136', '5815', '5677', '4876', '5764', '4996', '4535', '5771', '5450', '4453']",['4031' '4290' '4424' '4876' '5227' '5764']
tgm028_preop,"['4781', '4204', '4819', '4246', '5909', '4660', '4447', '4692', '4800', '5972', '4616', '4253', '5497', '5202', '4890']","['4781', '4204', '4819', '4660', '5909', '4447', '4246', '4800', '4692', '5771', '5972', '5433', '5735', '4840', '5815']",['4204' '4246' '4447' '4660' '4692' '4781' '4800' '4819' '5909' '5972']
tgm029_preop,"['4910', '5921', '4669', '4611', '4359', '5562', '4344', '4857', '5748', '5660', '5783', '4115', '5403', '4165', '4661']","['5921', '4669', '4910', '4611', '5562', '4344', '5748', '5660', '5771', '5783', '5433', '4663', '4535', '4461', '5815']",['4344' '4611' '4669' '4910' '5562' '5660' '5748' '5783' '5921']
tgm030_preop,"['4000', '4001', '4002', '4003', '4004', '4005', '4006', '4007', '4008', '4009', '4010', '4011', '4012', '4013', '4014']","['5771', '5433', '5815', '4535', '4663', '5520', '5677', '4840', '4738', '4996', '5450', '4866', '4668', '5243', '4453']",[]
tgm031_preop,"['5197', '5406', '5044', '5992', '4492', '4149', '5059', '5284', '5405', '5133', '5684', '4257', '5000', '5844', '4718']","['5197', '5406', '4741', '5044', '4492', '5284', '5844', '5992', '4149', '5405', '5059', '4257', '4297', '5684', '5133']","['4149' '4257' '4492' '5044' '5059' '5133' '5197' '5284' '5405' '5406'
 '5684' '5844' '5992']"
tgm033_preop,"['4621', '4220', '4115', '4005', '5356', '5076', '5533', '4907', '5063', '4678', '5266', '4049', '5452', '4366', '5562']","['4621', '4115', '5958', '5771', '4005', '4535', '5433', '5520', '4738', '5815', '4238', '5735', '4996', '4663', '5356']",['4005' '4115' '4621' '5356']
tgm034_preop,"['5412', '4865', '4900', '5797', '4957', '4614', '4875', '5024', '4828', '5095', '5920', '5851', '5464', '4658', '5580']","['5771', '5815', '5433', '5024', '4663', '4406', '4865', '5520', '5464', '4614', '4840', '5412', '4238', '5450', '4773']",['4614' '4865' '5024' '5412' '5464']
tgm035_preop,"['4000', '4001', '4002', '4003', '4004', '4005', '4006', '4007', '4008', '4009', '4010', '4011', '4012', '4013', '4014']","['5771', '5433', '5815', '4535', '4663', '5520', '5677', '4840', '4738', '4996', '5450', '4866', '4668', '5243', '4453']",[]
tgm036_preop,"['4975', '4105', '5466', '5970', '4316', '4687', '4900', '5095', '4387', '4788', '5229', '5737', '5462', '4957', '4433']","['4975', '4406', '5745', '4105', '5778', '4835', '5466', '5771', '4738', '5920', '4866', '5433', '4840', '4828', '5926']",['4105' '4975' '5466']
tgm037_preop,"['4115', '5562', '4910', '5784', '4581', '5783', '4621', '4093', '4678', '4657', '4223', '4502', '4611', '5921', '4070']","['5562', '5921', '4115', '4910', '5784', '5783', '4611', '4581', '4669', '4621', '5771', '4223', '5433', '4535', '4070']","['4070' '4115' '4223' '4581' '4611' '4621' '4910' '5562' '5783' '5784'
 '5921']"
tgm038_preop,"['5871', '5912', '5435', '5068', '4983', '5660', '4661', '5095', '4165', '4611', '5656', '5674', '4900', '4857', '5466']","['5771', '5433', '5815', '4535', '4663', '5520', '5677', '4840', '4738', '4996', '5450', '4866', '4668', '5243', '4453']",[]
tgm039_preop,"['5628', '5854', '4424', '4569', '5602', '4031', '5764', '5448', '5856', '5965', '4850', '4823', '5216', '4312', '5874']","['5628', '5854', '4424', '4569', '4031', '5602', '5764', '4444', '4823', '5904', '5856', '5448', '4312', '5968', '4850']","['4031' '4312' '4424' '4569' '4823' '4850' '5448' '5602' '5628' '5764'
 '5854' '5856']"
tgm041_preop,"['4352', '4979', '5021', '5032', '5967', '4822', '5069', '5112', '4563', '5502', '4877', '5928', '5249', '5355', '5395']","['4352', '5069', '4822', '5032', '4979', '5771', '5433', '4535', '5112', '4663', '4563', '5021', '4996', '4866', '5520']",['4352' '4563' '4822' '4979' '5021' '5032' '5069' '5112']
tgm042_preop,"['4403', '4357', '5197', '5431', '5044', '4376', '4695', '4477', '5992', '5059', '4257', '5406', '4122', '4233', '4492']","['4403', '4357', '5197', '4695', '4122', '4376', '4477', '4233', '4066', '5688', '5012', '4139', '5771', '5431', '5044']",['4122' '4233' '4357' '4376' '4403' '4477' '4695' '5044' '5197' '5431']
tgm044_preop,"['4804', '5661', '4986', '4632', '5574', '4488', '5323', '5071', '4663', '4956', '5379', '5595', '4230', '4818', '4137']","['4804', '4137', '4663', '5661', '4986', '5905', '5323', '4488', '4632', '5071', '5545', '4956', '5771', '4057', '5574']","['4137' '4488' '4632' '4663' '4804' '4956' '4986' '5071' '5323' '5574'
 '5661']"
tgm045_preop,"['4632', '4986', '5661', '5323', '4804', '5595', '4488', '5574', '5071', '5358', '5137', '5379', '5713', '4137', '5055']","['4632', '4137', '4488', '4804', '4986', '5661', '5323', '5071', '5358', '4663', '5574', '5771', '5595', '4956', '5379']","['4137' '4488' '4632' '4804' '4986' '5071' '5323' '5358' '5379' '5574'
 '5595' '5661']"
tgm046_preop,"['4956', '4804', '4986', '4249', '5731', '4488', '5661', '5379', '4092', '4818', '4071', '5318', '4678', '4372', '5071']","['5731', '4249', '4956', '4804', '4986', '5379', '5661', '4092', '4488', '4772', '4663', '5071', '5063', '4999', '4137']",['4092' '4249' '4488' '4804' '4956' '4986' '5071' '5379' '5661' '5731']
tgm047_preop,"['5095', '4687', '5797', '5435', '5851', '4748', '4658', '4900', '4957', '5466', '4480', '4975', '5580', '5036', '5876']","['5095', '4687', '4746', '5771', '5433', '5520', '4738', '4406', '4663', '4668', '4748', '5815', '4840', '5797', '5958']",['4687' '4748' '5095' '5797']
tgm048_preop,"['4000', '4001', '4002', '4003', '4004', '4005', '4006', '4007', '4008', '4009', '4010', '4011', '4012', '4013', '4014']","['5771', '5433', '5815', '4535', '4663', '5520', '5677', '4840', '4738', '4996', '5450', '4866', '4668', '5243', '4453']",[]
tgm049_preop,"['4297', '5640', '5844', '4933', '5284', '5250', '4741', '5766', '5671', '4159', '4848', '5842', '5405', '5569', '4065']","['5640', '4933', '5844', '4741', '4297', '5250', '5284', '4848', '5766', '4159', '5671', '5842', '5589', '5405', '5771']","['4159' '4297' '4741' '4848' '4933' '5250' '5284' '5405' '5640' '5671'
 '5766' '5842' '5844']"
tgm050_preop,"['4996', '5401', '5688', '5755', '5683', '5137', '4066', '5323', '5012', '5767', '4527', '4293', '5713', '4734', '5595']","['4996', '5401', '5688', '5767', '5771', '5433', '5677', '5520', '4535', '5243', '4293', '4738', '5100', '4840', '5323']",['4293' '4996' '5323' '5401' '5688' '5767']
tgm051_preop,"['5234', '5782', '4406', '4907', '4564', '4807', '5343', '4366', '5765', '5172', '5266', '4865', '4075', '5210', '4315']","['4406', '5782', '4807', '5234', '5771', '5433', '5958', '5815', '5520', '4840', '5450', '5677', '4535', '4366', '4996']",['4366' '4406' '4807' '5234' '5782']
tgm052_preop,"['4477', '5197', '4695', '5405', '4389', '4492', '4233', '4051', '5226', '4478', '4376', '5477', '4276', '5999', '5844']","['4477', '5197', '4695', '5405', '4389', '4233', '4492', '4051', '5999', '4478', '5284', '4963', '4538', '5844', '4615']","['4051' '4233' '4389' '4477' '4478' '4492' '4695' '5197' '5405' '5844'
 '5999']"
tgm053_preop,"['5370', '5071', '5661', '5905', '5864', '4804', '5545', '5323', '5129', '4986', '5034', '5280', '4430', '5861', '4341']","['5370', '5661', '5905', '5071', '4804', '5545', '5864', '4430', '4986', '5034', '4137', '5323', '4057', '5129', '5280']","['4430' '4804' '4986' '5034' '5071' '5129' '5280' '5323' '5370' '5545'
 '5661' '5864' '5905']"
tgm054_preop,"['5323', '4293', '4057', '5401', '5545', '5864', '5137', '5767', '5905', '5129', '5595', '5071', '5370', '5661', '5440']","['4057', '5545', '5323', '4293', '4351', '5767', '5401', '5864', '5905', '5129', '5280', '5071', '5661', '5034', '5137']","['4057' '4293' '5071' '5129' '5137' '5323' '5401' '5545' '5661' '5767'
 '5864' '5905']"
tgm055_preop,"['5355', '4563', '5245', '5219', '5249', '5934', '4877', '5702', '5788', '5395', '5948', '4166', '5326', '5488', '5212']","['5355', '5771', '5433', '5815', '4663', '5249', '4535', '4996', '4840', '5961', '5677', '5788', '5520', '5245', '4563']",['4563' '5245' '5249' '5355' '5788']
tgm056_preop,"['4406', '4564', '5234', '5782', '4807', '4907', '5765', '4366', '5343', '5266', '4147', '4075', '5172', '5958', '5452']","['4406', '5782', '5771', '4807', '5958', '5433', '4366', '5815', '4535', '5520', '5450', '4840', '4996', '5677', '4663']",['4366' '4406' '4807' '5782' '5958']
tgm057_preop,"['5948', '5355', '5219', '5249', '5934', '5245', '5702', '4008', '4967', '4563', '5788', '5395', '4877', '4166', '5212']","['5355', '5771', '5934', '5249', '4128', '5433', '5815', '5948', '5501', '4535', '5219', '4663', '5520', '4840', '5788']",['5219' '5249' '5355' '5788' '5934' '5948']
tgm058_preop,"['4057', '5545', '4351', '4293', '5034', '5997', '5864', '5440', '5129', '5217', '5280', '5861', '5370', '5323', '4241']","['4057', '4351', '5545', '5997', '5440', '5771', '5714', '5034', '5280', '5861', '4840', '4663', '4293', '4535', '5433']",['4057' '4293' '4351' '5034' '5280' '5440' '5545' '5861' '5997']
tgm059_preop,"['5412', '4900', '5797', '4957', '4875', '4620', '4658', '5580', '5102', '5466', '5920', '4865', '5193', '4315', '4828']","['5412', '4900', '4875', '5797', '5771', '4658', '5193', '4865', '5433', '5464', '5815', '5779', '4828', '4957', '4238']",['4658' '4828' '4865' '4875' '4900' '4957' '5193' '5412' '5797']
