tumor,gt_top,encoded_top,intersection
tgm001_preop,"['9478', '25825', '15140', '26267', '23251', '20098', '22078', '16619', '19285', '25821', '12592', '11461', '10662', '12619', '18204']","['19285', '9478', '15140', '12592', '24648', '26267', '16619', '10662', '23837', '8812', '22078', '12619', '19225', '26304', '19488']",['10662' '12592' '12619' '15140' '16619' '19285' '22078' '26267' '9478']
tgm002_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['27047', '12993', '16102', '20237', '14721', '10251', '11618', '12243', '24774', '10896', '21928', '21888', '14774', '21365', '26090']",['10896' '11618' '14774' '26090']
tgm003_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['27047', '12993', '16102', '20237', '14721', '10251', '24774', '12243', '10896', '21928', '21888', '14774', '11618', '26090', '21365']",['10896' '11618' '14774' '26090']
tgm004_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['27047', '12993', '16102', '20237', '14721', '10251', '24774', '12243', '10896', '21928', '21888', '14774', '11618', '26090', '21365']",['10896' '11618' '14774' '26090']
tgm005_preop,"['8218', '16428', '14527', '21862', '22190', '26245', '20165', '10323', '15670', '11506', '27460', '23737', '26380', '21674', '24555']","['16428', '22724', '14527', '19930', '8218', '21898', '23737', '16537', '21862', '27460', '14543', '13730', '26245', '21674', '8160']",['14527' '16428' '21674' '21862' '23737' '26245' '27460' '8218']
tgm006_preop,"['17098', '20941', '8822', '16065', '8531', '18217', '23401', '12147', '16992', '11618', '18180', '14774', '26450', '10896', '16900']","['17098', '20941', '8822', '18217', '8531', '16065', '18299', '8969', '12147', '17022', '14510', '19545', '17969', '22360', '23778']",['12147' '16065' '17098' '18217' '20941' '8531' '8822']
tgm008_preop,"['24992', '20932', '27523', '11256', '9273', '26384', '12606', '24725', '8694', '10889', '11590', '11618', '16992', '18180', '14774']","['27523', '11256', '20932', '24992', '9273', '24725', '26384', '10889', '11590', '12606', '14175', '8694', '23739', '24459', '9138']","['10889' '11256' '11590' '12606' '20932' '24725' '24992' '26384' '27523'
 '8694' '9273']"
tgm009_preop,"['17228', '9768', '27967', '20046', '18866', '27123', '20671', '27960', '11618', '16992', '18180', '14774', '26450', '10896', '14464']","['17228', '27967', '20046', '9768', '27123', '20671', '27960', '18866', '14464', '24599', '10416', '15503', '18125', '21959', '26122']",['14464' '17228' '18866' '20046' '20671' '27123' '27960' '27967' '9768']
tgm010_preop,"['19507', '19359', '24280', '22952', '8161', '25769', '17711', '12948', '16028', '21359', '8129', '8140', '17188', '10896', '12426']","['12948', '16028', '25769', '19359', '27066', '21359', '22952', '26482', '12426', '15673', '8140', '22115', '19507', '16736', '10179']",['12426' '12948' '16028' '19359' '19507' '21359' '22952' '25769' '8140']
tgm011_preop,"['27715', '18038', '17681', '24555', '9861', '19232', '19582', '17864', '24515', '15670', '16477', '16332', '21477', '11506', '15603']","['27715', '19232', '17681', '19582', '10711', '8496', '11579', '9861', '13320', '18038', '11576', '14513', '17218', '24515', '24555']",['17681' '18038' '19232' '19582' '24515' '24555' '27715' '9861']
tgm013_preop,"['8881', '11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '10106', '27185']","['27047', '12993', '12243', '16102', '20237', '11618', '14721', '10251', '10896', '24774', '14774', '21928', '21888', '16764', '26090']",['10896' '11618' '14774' '26090']
tgm014_preop,"['15639', '21994', '22265', '26797', '20461', '13894', '12366', '12271', '19982', '16506', '13717', '18465', '11718', '24459', '20655']","['20461', '26797', '13842', '12366', '16280', '22265', '13894', '25911', '18465', '12705', '12271', '11718', '25946', '23139', '13791']",['11718' '12271' '12366' '13894' '18465' '20461' '22265' '26797']
tgm015_preop,"['12647', '9840', '17349', '20192', '8822', '17022', '25479', '20941', '11846', '8556', '16753', '11124', '20162', '20432', '17492']","['25244', '12647', '13008', '25479', '9840', '20192', '12533', '8556', '11846', '20432', '17022', '15922', '11124', '17492', '14332']","['11124' '11846' '12647' '17022' '17492' '20192' '20432' '25479' '8556'
 '9840']"
tgm016_preop,"['22183', '27126', '12856', '8144', '23055', '23429', '27366', '9623', '25445', '13798', '21817', '24419', '16691', '14774', '26957']","['27126', '8144', '22183', '21817', '23429', '27366', '15944', '12856', '25445', '14310', '15341', '17547', '13604', '17479', '23055']",['12856' '21817' '22183' '23055' '23429' '25445' '27126' '27366' '8144']
tgm017_preop,"['20987', '8546', '21993', '17725', '15577', '27590', '16457', '8052', '24415', '23039', '14007', '13449', '13546', '16660', '24580']","['20987', '16345', '13546', '16457', '22710', '24580', '10876', '18696', '9412', '17725', '17198', '24415', '25534', '12529', '25774']",['13546' '16457' '17725' '20987' '24415' '24580']
tgm018_preop,"['20816', '11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '16284', '18218', '9500', '21356', '23251', '27185']","['16284', '20816', '20299', '25563', '16354', '15787', '8512', '9875', '10747', '21365', '15688', '18370', '23852', '26371', '9423']",['16284' '20816']
tgm019_preop,"['27985', '21009', '18406', '16151', '25624', '25980', '21045', '11055', '11575', '17479', '27366', '9233', '18477', '19338', '19440']","['11055', '27985', '13604', '17479', '23550', '21009', '11073', '27445', '9233', '16995', '16151', '15088', '9591', '19440', '26352']",['11055' '16151' '17479' '19440' '21009' '27985' '9233']
tgm021_preop,"['11103', '20092', '18826', '21241', '15197', '16142', '11176', '8918', '16765', '18364', '9867', '18008', '13006', '19311', '16059']","['19311', '27167', '16918', '22324', '12459', '16765', '18740', '21241', '21951', '25742', '14813', '19573', '12229', '8374', '22044']",['16765' '19311' '21241']
tgm022_preop,"['11618', '14441', '11892', '26688', '16992', '18180', '27185', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356']","['11618', '14441', '15498', '19522', '11892', '27002', '25558', '12243', '26457', '15111', '27047', '26688', '20370', '10617', '12993']",['11618' '11892' '14441' '26688']
tgm023_preop,"['22190', '18038', '11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185']","['18038', '22190', '24555', '17864', '15670', '11506', '14422', '8218', '25641', '12993', '27047', '20165', '10132', '10251', '14721']",['18038' '22190']
tgm024_preop,"['26371', '20816', '15787', '9875', '23852', '11484', '27629', '21285', '10883', '20299', '23881', '20869', '20806', '26703', '16354']","['26371', '15787', '10883', '9875', '11484', '21285', '27629', '20816', '23852', '20869', '12184', '23881', '26703', '20299', '14020']","['10883' '11484' '15787' '20299' '20816' '20869' '21285' '23852' '23881'
 '26371' '26703' '27629' '9875']"
tgm025_preop,"['14910', '16506', '24928', '26100', '20299', '25105', '20816', '10896', '15111', '20281', '18675', '24164', '15787', '16365', '19522']","['24928', '14910', '16365', '25105', '26100', '16506', '15111', '14020', '18138', '20281', '10896', '15787', '26623', '15906', '19031']","['10896' '14910' '15111' '15787' '16365' '16506' '20281' '24928' '25105'
 '26100']"
tgm026_preop,"['16894', '26100', '27172', '18815', '16506', '23920', '13832', '20281', '8881', '24277', '18913', '14910', '8694', '24416', '24274']","['23920', '18815', '26100', '16894', '27172', '21470', '16077', '16506', '20281', '13832', '24277', '24757', '18913', '22860', '15187']","['13832' '16506' '16894' '18815' '18913' '20281' '23920' '24277' '26100'
 '27172']"
tgm027_preop,"['11177', '17729', '24714', '14774', '9124', '16691', '14401', '9623', '9730', '17439', '24419', '26109', '21824', '9200', '19974']","['11177', '17729', '24714', '9124', '16691', '14774', '24419', '26109', '9730', '9623', '14401', '17439', '23960', '24083', '19974']","['11177' '14401' '14774' '16691' '17439' '17729' '19974' '24419' '24714'
 '26109' '9124' '9623' '9730']"
tgm028_preop,"['20354', '13551', '18108', '17817', '23266', '21181', '15947', '17046', '11189', '14373', '17180', '11789', '26090', '24946', '19124']","['18108', '20354', '13551', '17718', '17180', '25278', '23266', '21181', '15947', '16621', '14491', '17817', '19124', '11189', '23922']","['11189' '13551' '15947' '17180' '17817' '18108' '19124' '20354' '21181'
 '23266']"
tgm029_preop,"['11472', '12969', '9209', '20930', '26450', '22607', '16631', '15411', '11950', '13206', '26713', '18144', '24516', '19282', '21614']","['12969', '11472', '21614', '14191', '19247', '24769', '20096', '11151', '22094', '13206', '24765', '9209', '26713', '16631', '15411']",['11472' '12969' '13206' '15411' '16631' '21614' '26713' '9209']
tgm030_preop,"['11618', '16992', '18180', '14774', '26450', '10896', '26090', '27967', '18218', '9500', '21356', '23251', '27185', '13437', '9708']","['27047', '12993', '16102', '20237', '14721', '10251', '24774', '12243', '10896', '21928', '21888', '14774', '11618', '26090', '21365']",['10896' '11618' '14774' '26090']
