tumor,gt_top,encoded_top,intersection
tgm044_preop,"['3071', '3066', '3181', '3171', '3154', '3074', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085']","['3071', '3030', '3154', '3131', '3125', '3060', '3171', '3085', '3181', '3153', '3193', '3084', '3053', '3169', '3009']",['3030' '3071' '3085' '3125' '3154' '3171' '3181']
tgm045_preop,"['3066', '3071', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3074', '3194', '3083']","['3066', '3071', '3030', '3154', '3125', '3181', '3084', '3171', '3060', '3153', '3131', '3193', '3159', '3053', '3085']",['3030' '3066' '3071' '3125' '3154' '3171' '3181']
tgm046_preop,"['3071', '3074', '3113', '3066', '3083', '3194', '3082', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152']","['3071', '3131', '3169', '3174', '3030', '3171', '3181', '3113', '3163', '3154', '3074', '3084', '3060', '3083', '3125']",['3030' '3071' '3074' '3083' '3113' '3154' '3171' '3181']
tgm047_preop,"['3188', '3057', '3181', '3171', '3154', '3121', '3030', '3006', '3152', '3055', '3125', '3194', '3085', '3047', '3074']","['3188', '3053', '3057', '3030', '3154', '3060', '3181', '3171', '3125', '3153', '3133', '3087', '3084', '3071', '3089']",['3030' '3057' '3125' '3154' '3171' '3181' '3188']
tgm048_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3154', '3060', '3125', '3181', '3153', '3193', '3171', '3084', '3087', '3121', '3055', '3009', '3088', '3071']",['3009' '3030' '3055' '3121' '3125' '3154' '3171' '3181']
tgm049_preop,"['3140', '3181', '3171', '3154', '3121', '3030', '3047', '3006', '3057', '3152', '3055', '3125', '3187', '3194', '3085']","['3140', '3030', '3154', '3125', '3060', '3193', '3181', '3087', '3084', '3153', '3171', '3113', '3089', '3099', '3121']",['3030' '3121' '3125' '3140' '3154' '3171' '3181']
tgm050_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3066', '3055', '3125', '3194', '3085', '3047', '3074']","['3154', '3030', '3060', '3152', '3181', '3087', '3125', '3153', '3193', '3055', '3171', '3113', '3084', '3121', '3053']",['3030' '3055' '3121' '3125' '3152' '3154' '3171' '3181']
tgm051_preop,"['3181', '3171', '3154', '3121', '3057', '3030', '3006', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3014']","['3030', '3060', '3154', '3125', '3181', '3153', '3193', '3171', '3055', '3121', '3113', '3071', '3088', '3084', '3092']",['3030' '3055' '3121' '3125' '3154' '3171' '3181']
tgm052_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3139', '3141']","['3154', '3030', '3125', '3050', '3060', '3181', '3153', '3090', '3193', '3171', '3150', '3084', '3113', '3055', '3053']",['3030' '3055' '3125' '3154' '3171' '3181']
tgm053_preop,"['3071', '3181', '3171', '3154', '3066', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3083', '3194', '3085']","['3071', '3115', '3160', '3030', '3085', '3125', '3060', '3154', '3171', '3084', '3181', '3193', '3083', '3057', '3009']",['3030' '3057' '3071' '3083' '3085' '3125' '3154' '3171' '3181']
tgm054_preop,"['3066', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3071']","['3115', '3071', '3030', '3154', '3153', '3125', '3060', '3085', '3193', '3181', '3055', '3171', '3018', '3084', '3066']",['3030' '3055' '3066' '3071' '3085' '3125' '3154' '3171' '3181']
tgm055_preop,"['3030', '3181', '3171', '3154', '3121', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3154', '3125', '3060', '3153', '3181', '3171', '3087', '3084', '3071', '3055', '3193', '3121', '3006', '3053']",['3006' '3030' '3055' '3121' '3125' '3154' '3171' '3181']
tgm056_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3154', '3060', '3125', '3181', '3153', '3193', '3171', '3055', '3092', '3099', '3121', '3088', '3071', '3194']",['3030' '3055' '3121' '3125' '3154' '3171' '3181' '3194']
tgm057_preop,"['3030', '3181', '3171', '3154', '3121', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3154', '3060', '3125', '3181', '3153', '3171', '3087', '3027', '3006', '3071', '3193', '3084', '3053', '3055']",['3006' '3030' '3055' '3125' '3154' '3171' '3181']
tgm058_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3066', '3074']","['3115', '3030', '3153', '3154', '3060', '3125', '3181', '3193', '3171', '3009', '3085', '3055', '3087', '3084', '3088']",['3030' '3055' '3085' '3125' '3154' '3171' '3181']
tgm059_preop,"['3057', '3188', '3014', '3181', '3171', '3154', '3121', '3030', '3006', '3152', '3055', '3125', '3194', '3085', '3047']","['3057', '3188', '3030', '3133', '3031', '3154', '3014', '3125', '3181', '3153', '3060', '3167', '3084', '3171', '3193']",['3014' '3030' '3057' '3125' '3154' '3171' '3181' '3188']
tgm060_preop,"['3162', '3192', '3011', '3030', '3047', '3181', '3171', '3154', '3121', '3006', '3057', '3009', '3152', '3055', '3125']","['3162', '3011', '3030', '3192', '3027', '3154', '3125', '3153', '3084', '3181', '3053', '3171', '3088', '3157', '3055']",['3011' '3030' '3055' '3125' '3154' '3162' '3171' '3181' '3192']
tgm061_preop,"['3066', '3181', '3071', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047']","['3066', '3115', '3071', '3030', '3154', '3060', '3153', '3125', '3171', '3085', '3181', '3090', '3160', '3084', '3193']",['3030' '3066' '3071' '3085' '3125' '3154' '3171' '3181']
tgm062_preop,"['3113', '3074', '3194', '3082', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3085']","['3113', '3074', '3030', '3194', '3174', '3154', '3125', '3169', '3060', '3181', '3153', '3163', '3131', '3193', '3009']",['3030' '3074' '3113' '3125' '3154' '3181' '3194']
tgm063_preop,"['3194', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3074', '3085', '3047', '3009']","['3030', '3154', '3153', '3060', '3125', '3193', '3087', '3009', '3115', '3181', '3121', '3171', '3055', '3053', '3057']",['3009' '3030' '3055' '3057' '3121' '3125' '3154' '3171' '3181']
tgm064_preop,"['3181', '3171', '3154', '3121', '3047', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3074', '3009']","['3154', '3125', '3060', '3030', '3199', '3193', '3181', '3153', '3171', '3089', '3087', '3055', '3113', '3084', '3071']",['3030' '3055' '3125' '3154' '3171' '3181']
tgm065_preop,"['3181', '3171', '3154', '3121', '3030', '3006', '3057', '3152', '3055', '3125', '3194', '3085', '3047', '3074', '3009']","['3030', '3154', '3060', '3125', '3153', '3181', '3171', '3087', '3193', '3141', '3055', '3084', '3080', '3009', '3088']",['3009' '3030' '3055' '3125' '3154' '3171' '3181']
tgm066_preop,"['3057', '3181', '3171', '3154', '3121', '3030', '3006', '3152', '3055', '3125', '3194', '3085', '3014', '3047', '3188']","['3057', '3030', '3154', '3014', '3060', '3153', '3181', '3087', '3125', '3084', '3193', '3113', '3195', '3006', '3171']",['3006' '3014' '3030' '3057' '3125' '3154' '3171' '3181']
tgm067_preop,"['3152', '3082', '3074', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3055', '3125', '3071', '3194', '3085']","['3131', '3116', '3096', '3114', '3154', '3109', '3030', '3151', '3174', '3125', '3152', '3153', '3171', '3060', '3193']",['3030' '3125' '3152' '3154' '3171']
tgm068_preop,"['3062', '3181', '3171', '3154', '3121', '3030', '3006', '3057', '3055', '3152', '3125', '3194', '3085', '3047', '3074']","['3062', '3048', '3030', '3181', '3153', '3193', '3125', '3129', '3060', '3084', '3159', '3115', '3009', '3171', '3085']",['3030' '3062' '3085' '3125' '3171' '3181']
tgm071_preop,"['3181', '3030', '3171', '3154', '3121', '3006', '3057', '3152', '3055', '3125', '3047', '3194', '3085', '3192', '3074']","['3162', '3030', '3011', '3154', '3192', '3125', '3027', '3153', '3087', '3181', '3088', '3171', '3071', '3009', '3084']",['3030' '3125' '3154' '3171' '3181' '3192']
